,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
54,Germany,2009,79.84,77.75,2.3,1.8,27.16,25.74,11.24,17.64,7.74,81902307,41650.37,High income
63,Germany,2000,77.93,94.37,2.7,2.8,26.5,25.32,9.89,16.19,7.92,82211508,23694.76,High income
56,Germany,2007,79.53,79.56,2.5,2.0,27.03,25.66,10.05,17.41,8.66,82266372,41640.08,High income
57,Germany,2006,79.13,81.24,2.6,2.2,26.96,25.61,10.18,16.93,10.25,82376451,36353.88,High income
58,Germany,2005,78.93,83.55,2.6,2.3,26.89,25.56,10.31,16.67,11.17,82469422,34520.24,High income
59,Germany,2004,78.68,85.28,2.6,2.2,26.81,25.52,10.15,16.46,10.73,82516260,34106.66,High income
60,Germany,2003,78.38,89.42,2.6,2.3,26.73,25.47,10.4,16.67,9.78,82534176,30310.36,High income
61,Germany,2002,78.23,90.93,2.6,2.4,26.65,25.42,10.18,16.55,8.48,82488495,25197.27,High income
62,Germany,2001,78.33,91.85,2.6,2.4,26.57,25.37,9.92,16.36,7.77,82349925,23628.33,High income
55,Germany,2008,79.74,78.39,2.4,1.8,27.1,25.7,10.25,17.46,7.52,82110097,45612.71,High income
495,Greece,2000,77.89,81.8,4.0,2.4,26.87,26.82,7.24,9.61,11.34,10805808,12072.93,High income
494,Greece,2001,78.39,80.21,3.6,2.2,26.94,26.85,7.99,10.98,10.76,10862132,12549.04,High income
493,Greece,2002,78.64,78.3,3.3,2.2,27.01,26.88,8.23,10.87,10.35,10902022,14177.57,High income
492,Greece,2003,78.84,79.11,2.9,2.1,27.08,26.9,8.45,10.86,9.84,10928070,18518.38,High income
491,Greece,2004,79.04,79.98,2.6,2.0,27.15,26.92,8.09,9.97,10.63,10955141,21995.48,High income
487,Greece,2008,79.94,77.13,2.1,1.8,27.4,26.98,8.83,11.34,7.66,11077841,32127.98,High income
489,Greece,2006,79.44,76.79,2.3,1.9,27.28,26.96,8.26,11.28,8.91,11020362,24821.94,High income
488,Greece,2007,79.44,79.96,2.2,1.9,27.34,26.97,8.4,11.3,8.35,11048473,28863.97,High income
481,Greece,2014,81.39,70.86,2.6,1.9,27.6,26.95,7.89,8.85,26.71,10892413,21616.71,High income
486,Greece,2009,80.19,78.31,2.0,1.9,27.44,26.99,9.41,11.88,9.55,11107017,29828.76,High income
485,Greece,2010,80.39,76.17,2.0,1.8,27.48,26.99,9.6,12.49,12.72,11121341,26716.65,High income
484,Greece,2011,80.73,76.23,2.1,1.8,27.52,26.98,9.19,10.96,17.97,11104899,25483.88,High income
490,Greece,2005,79.24,79.58,2.4,2.0,27.22,26.94,8.56,11.44,10.07,10987314,22560.15,High income
