,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,gni
2244,Singapore,2011,81.74,57.1,1.1,1.6,24.16,23.21,3.16,11.97,3.89,5183688,53891.46,48250.0
2245,Singapore,2010,81.54,58.32,1.1,1.5,24.12,23.23,3.2,10.94,4.12,5076732,47236.68,44930.0
2246,Singapore,2009,81.24,60.01,1.3,1.5,24.08,23.25,3.4,7.15,5.86,4987573,38926.81,37320.0
2247,Singapore,2008,80.79,65.08,1.2,1.6,24.03,23.26,3.19,8.65,3.96,4839396,40008.57,37230.0
2248,Singapore,2007,80.44,65.15,1.1,1.6,23.99,23.28,2.84,10.35,3.9,4588599,39432.89,36010.0
2249,Singapore,2006,80.14,65.57,1.3,1.6,23.95,23.3,2.93,7.85,4.48,4401365,33768.45,32550.0
2250,Singapore,2005,79.99,69.06,1.3,1.7,23.91,23.33,3.03,7.89,5.59,4265762,29961.32,28830.0
2251,Singapore,2004,79.49,69.89,1.3,1.8,23.87,23.35,3.15,7.13,5.84,4166664,27608.08,26170.0
2252,Singapore,2003,79.04,71.96,1.2,1.9,23.83,23.37,3.61,8.33,5.93,4114826,23730.38,23440.0
2253,Singapore,2002,78.55,76.58,1.3,2.1,23.79,23.39,3.36,6.54,5.65,4175950,22159.84,22000.0
2254,Singapore,2001,78.25,77.7,1.5,2.3,23.74,23.41,3.16,4.87,3.76,4138012,21699.74,22130.0
2255,Singapore,2000,77.95,77.69,1.5,2.2,23.7,23.44,3.34,7.39,3.7,4027887,23852.84,23680.0
2464,Thailand,2015,77.72,141.4,5.8,4.8,23.89,25.01,3.85,12.53,0.6,70294397,5708.79,5560.0
2465,Thailand,2014,77.42,142.3,6.1,4.9,23.77,24.91,3.68,12.66,0.58,69960943,5822.38,5620.0
2466,Thailand,2013,77.08,142.7,6.3,5.2,23.66,24.81,3.45,12.16,0.25,69578602,6041.13,5580.0
2467,Thailand,2012,76.77,144.6,6.7,5.5,23.54,24.71,3.52,12.64,0.58,69157023,5748.63,5400.0
2468,Thailand,2011,76.42,146.7,7.0,5.7,23.43,24.6,3.57,12.84,0.66,68712846,5396.64,4840.0
2469,Thailand,2010,76.13,149.1,7.4,5.8,23.32,24.5,3.39,11.56,0.62,68270489,4996.37,4490.0
2470,Thailand,2009,75.84,150.8,7.8,6.2,23.21,24.39,3.62,12.46,1.49,67813654,4154.19,4060.0
2471,Thailand,2008,75.49,157.4,8.1,6.6,23.1,24.29,3.46,13.5,1.18,67328239,4327.8,3900.0
2472,Thailand,2007,75.19,163.8,8.5,6.9,22.99,24.19,3.19,12.38,1.18,66826754,3934.69,3480.0
2473,Thailand,2006,74.94,170.2,9.0,7.5,22.89,24.09,3.1,12.12,1.22,66319525,3343.79,3070.0
2474,Thailand,2005,73.82,177.8,9.5,7.9,22.79,24.0,3.16,10.5,1.35,65821360,2876.25,2770.0
2475,Thailand,2004,73.08,188.8,9.8,8.4,22.69,23.91,3.14,10.71,1.51,65311166,2647.26,2520.0
2476,Thailand,2003,73.16,191.3,10.3,8.7,22.6,23.82,3.24,11.46,1.54,64776956,2350.85,2170.0
2477,Thailand,2002,72.93,195.9,10.8,9.0,22.5,23.73,3.33,8.72,1.82,64222580,2091.18,1980.0
2478,Thailand,2001,72.61,195.3,11.5,9.7,22.42,23.65,3.03,8.38,2.6,63649892,1889.97,1960.0
2479,Thailand,2000,72.32,203.9,12.0,10.3,22.33,23.57,3.1,9.25,2.39,63066603,2004.11,1980.0
2496,Timor-Leste,2015,67.14,164.1,21.6,28.7,21.25,21.27,7.67,4.51,4.45,1205813,1322.93,2180.0
2497,Timor-Leste,2014,66.79,164.9,22.2,30.2,21.15,21.16,7.6,3.72,4.23,1184830,1221.72,2700.0
2498,Timor-Leste,2013,66.44,164.6,22.7,31.7,21.04,21.05,8.53,4.62,4.01,1161555,1201.6,3190.0
2499,Timor-Leste,2012,66.08,164.1,23.1,33.2,20.94,20.95,6.99,3.21,3.77,1137676,1020.11,3570.0
2500,Timor-Leste,2011,65.7,164.6,23.8,34.7,20.84,20.84,6.87,2.68,3.53,1112976,936.71,3740.0
2501,Timor-Leste,2010,65.3,165.2,24.4,36.3,20.74,20.74,6.47,2.71,3.3,1088486,810.22,2870.0
2502,Timor-Leste,2009,64.85,167.7,25.3,38.4,20.65,20.64,7.31,2.66,3.3,1065540,682.22,2370.0
2503,Timor-Leste,2008,64.33,167.3,25.9,40.9,20.56,20.54,6.97,2.78,3.37,1043076,621.74,3040.0
2504,Timor-Leste,2007,63.72,169.3,26.8,43.5,20.48,20.45,5.65,1.27,3.41,1019362,532.49,1900.0
2505,Timor-Leste,2006,63.07,171.5,27.9,46.9,20.39,20.37,6.0,4.0,3.46,994564,456.27,1360.0
2506,Timor-Leste,2005,62.33,171.3,29.1,50.8,20.31,20.28,5.28,3.63,3.45,969313,476.9,970.0
2507,Timor-Leste,2004,61.63,176.5,30.5,55.0,20.24,20.2,4.26,2.25,3.5,945989,465.94,820.0
2508,Timor-Leste,2003,60.87,178.2,31.8,59.0,20.16,20.12,2.84,1.62,3.41,926721,529.22,690.0
2509,Timor-Leste,2002,60.15,180.9,33.5,63.2,20.09,20.04,,,3.33,909639,516.09,790.0
2510,Timor-Leste,2001,59.36,182.1,35.2,67.2,20.02,19.96,,,3.48,893001,534.65,710.0
2511,Timor-Leste,2000,58.57,184.2,36.7,70.8,19.95,19.89,,,3.6,878360,417.74,660.0
2752,Viet Nam,2015,73.88,136.0,11.0,10.5,21.81,21.81,4.71,8.49,1.85,92191398,2595.23,2460.0
2753,Viet Nam,2014,73.86,137.2,11.1,12.0,21.66,21.67,4.69,9.12,1.26,91235504,2558.78,2390.0
2754,Viet Nam,2013,73.78,138.3,11.3,10.8,21.5,21.53,4.41,8.16,1.32,90267739,2367.5,2200.0
2755,Viet Nam,2012,73.7,139.1,11.4,10.8,21.35,21.4,5.0,9.52,1.03,89301326,2190.23,1980.0
2756,Viet Nam,2011,73.69,140.2,11.4,10.9,21.2,21.26,4.97,9.11,1.0,88349117,1953.56,1630.0
2757,Viet Nam,2010,73.51,141.3,11.4,11.3,21.05,21.13,5.07,8.61,1.11,87411012,1684.01,1370.0
2758,Viet Nam,2009,73.5,141.6,11.5,11.6,20.91,21.0,4.49,6.85,1.74,86482923,1225.85,1120.0
2759,Viet Nam,2008,73.41,141.6,11.7,11.1,20.78,20.88,4.36,8.12,1.89,85597241,1158.1,1000.0
2760,Viet Nam,2007,73.44,141.5,11.7,11.4,20.65,20.76,4.63,7.94,2.03,84762269,913.31,860.0
2761,Viet Nam,2006,73.32,141.6,12.1,11.8,20.52,20.64,4.57,8.77,2.04,83951800,790.59,740.0
2762,Viet Nam,2005,73.27,142.1,12.3,12.0,20.41,20.53,4.32,8.67,2.08,83142095,693.19,650.0
2763,Viet Nam,2004,73.14,141.1,12.6,12.2,20.29,20.42,4.09,8.69,2.14,82311227,551.9,550.0
2764,Viet Nam,2003,72.98,140.8,13.1,13.3,20.19,20.32,3.94,7.16,2.25,81475825,485.45,480.0
2765,Viet Nam,2002,72.8,140.5,13.5,14.4,20.09,20.22,3.87,8.62,2.12,80642308,434.81,430.0
2766,Viet Nam,2001,72.65,140.7,14.1,15.4,20.0,20.12,4.8,8.2,2.76,79817777,409.5,410.0
2767,Viet Nam,2000,72.46,141.1,14.8,16.5,19.91,20.02,4.11,9.48,2.26,79001142,394.58,390.0
