,country,year,life_expectancy,adult_mortality,infant_deaths,under_five_deaths,bmi_male,bmi_female,health_expenditure_percentage,total_expenditure,unemployment_total,population,gdp_per_capita,income_class
443,Armenia,2004,71.42,134.5,12.9,11.3,24.89,26.88,6.06,6.28,10.67,3065745,1166.64,Lower-middel income
444,Armenia,2003,71.44,137.0,13.6,12.0,24.83,26.85,7.18,5.38,10.76,3084102,910.17,Lower-middel income
445,Armenia,2002,71.02,136.1,14.2,12.9,24.77,26.82,7.61,5.33,10.87,3105037,765.32,Lower-middel income
447,Armenia,2000,70.62,135.3,15.7,15.1,24.67,26.77,4.2,3.87,11.1,3168523,603.3,Lower-middel income
439,Armenia,2008,72.4,140.7,10.3,9.2,25.15,26.98,6.64,6.69,10.66,2983421,3908.95,Lower-middel income
463,Azerbaijan,2000,64.89,190.1,34.2,42.5,24.92,26.44,2.95,4.75,11.78,8048600,655.1,Upper-middle income
462,Azerbaijan,2001,65.51,177.1,32.6,38.0,24.97,26.54,2.77,4.8,10.91,8111200,703.67,Upper-middle income
460,Azerbaijan,2003,66.76,174.6,29.7,30.1,25.1,26.73,2.73,3.57,9.17,8234100,883.69,Upper-middle income
461,Azerbaijan,2002,66.24,169.8,31.2,33.7,25.03,26.63,2.73,3.19,10.04,8171950,763.11,Upper-middle income
448,Azerbaijan,2015,71.45,112.5,13.5,12.7,26.15,28.04,4.34,3.37,4.96,9649341,5500.5,Upper-middle income
449,Azerbaijan,2014,71.12,118.1,14.7,13.3,26.05,27.92,3.59,3.11,4.91,9535079,7890.84,Upper-middle income
450,Azerbaijan,2013,70.88,123.0,15.8,13.9,25.96,27.81,3.23,2.82,4.97,9416801,7875.35,Upper-middle income
452,Azerbaijan,2011,69.98,142.6,18.8,15.0,25.77,27.58,2.6,2.82,5.42,9173082,7189.82,Upper-middle income
451,Azerbaijan,2012,70.36,131.9,17.2,14.3,25.86,27.69,3.16,3.05,5.19,9295784,7495.87,Upper-middle income
454,Azerbaijan,2009,69.36,149.3,21.5,17.0,25.58,27.36,2.77,3.28,5.74,8947243,4950.4,Upper-middle income
455,Azerbaijan,2008,68.81,158.5,22.8,18.5,25.49,27.25,2.05,2.75,5.86,8763400,5574.47,Upper-middle income
456,Azerbaijan,2007,68.6,154.8,24.0,20.1,25.4,27.14,1.99,3.49,6.33,8581300,3851.33,Upper-middle income
457,Azerbaijan,2006,68.17,169.3,25.4,22.5,25.32,27.03,2.07,3.43,6.62,8484550,2472.96,Upper-middle income
458,Azerbaijan,2005,67.56,177.3,26.8,24.6,25.24,26.93,2.23,3.96,7.26,8391850,1578.37,Upper-middle income
453,Azerbaijan,2010,69.53,146.7,20.4,15.8,25.67,27.47,2.65,3.17,5.63,9054332,5843.53,Upper-middle income
459,Azerbaijan,2004,67.35,170.3,28.3,27.2,25.17,26.83,2.66,3.56,7.99,8306500,1045.01,Upper-middle income
466,Bahrain,2013,79.25,84.24,3.2,4.5,24.93,25.0,4.31,8.46,1.18,1261673,25790.73,High income
